Site,bloom,year,month,day_of_year,date,NDVI,NDWI,EVI,LST,cloud_cover,longitude,latitude
Channel Islands National Park,1,2015,4,90,2015-04-01,0.004755031015167724,0.023831761654927158,0.03285292740238881,17.706885564678498,0.23,-119.97275608023315,33.99868572814196
Chino Hills,1,2015,4,90,2015-04-01,0.2132533011693389,-0.23345575625453885,1.3825790293787077,31.854331313687243,0.23,-117.77738835498087,33.9516771794212
Antelope Valley California Poppy Reserve,1,2015,4,106,2015-04-17,0.15530576425609685,-0.2144668656585399,0.6960205006449685,43.272164544836926,0.04,-118.3837425004573,34.71510947662752
Channel Islands National Park,1,2015,4,106,2015-04-17,0.0899404666938413,-0.10361741369384711,0.4809141554744803,30.940464606499397,0.04,-119.97275608023315,33.99868572814196
Chino Hills,1,2015,4,106,2015-04-17,0.17753914963408307,-0.2107213131617836,1.0739493122377404,40.68277793158289,0.04,-117.77738835498087,33.9516771794212
Antelope Valley California Poppy Reserve,1,2016,4,93,2016-04-03,0.1804086058318205,-0.2212092664638094,0.936579836199996,37.68230860605195,8.63,-118.3837425004573,34.71510947662752
Channel Islands National Park,1,2016,4,93,2016-04-03,-0.010697798889474164,0.044748886418878496,0.04153583300365325,14.732908941966864,8.63,-119.97275608023315,33.99868572814196
Chino Hills,1,2016,4,93,2016-04-03,0.2067117149189198,-0.21767214049837913,1.7121659182350073,36.996494021290424,8.63,-117.77738835498087,33.9516771794212
Antelope Valley California Poppy Reserve,1,2016,4,109,2016-04-19,0.14362701150948692,-0.19552431484862798,0.7232612994698251,48.18273063097889,1.56,-118.3837425004573,34.71510947662752
Channel Islands National Park,1,2016,4,109,2016-04-19,0.001335995148309137,0.022650037547628447,0.09452280617025147,18.824528659498093,1.56,-119.97275608023315,33.99868572814196
Chino Hills,1,2016,4,109,2016-04-19,0.15983412246612655,-0.18148327899440428,1.365474085596783,43.918816482067186,1.56,-117.77738835498087,33.9516771794212
Channel Islands National Park,1,2017,4,95,2017-04-06,0.0477985713663374,-0.010017982966928043,0.7876964951521318,7.682856648406373,66.73,-119.97275608023315,33.99868572814196
Chino Hills,1,2017,4,95,2017-04-06,0.2736935827951907,-0.27000962609425305,1.6055983540060281,24.211213171537462,66.73,-117.77738835498087,33.9516771794212
Antelope Valley California Poppy Reserve,1,2017,4,111,2017-04-22,0.16350522411029333,-0.21391164302393034,0.7882265676680951,46.28012568828834,0.08,-118.3837425004573,34.71510947662752
Channel Islands National Park,1,2017,4,111,2017-04-22,0.037044183550558024,-0.02035858005795832,0.15506903769220373,19.82803501608515,0.08,-119.97275608023315,33.99868572814196
Chino Hills,1,2017,4,111,2017-04-22,0.24883094073354464,-0.2616896825175023,1.2937949070937715,35.00395354293813,0.08,-117.77738835498087,33.9516771794212
