,Site,bloom,year,month,day_of_year,date,NDVI,NDWI,EVI,LST,cloud_cover,longitude,latitude
7885,Suguaro Lake,1,2019,9,249,2019-09-07,0.0650775998981317,-0.0740112720908462,0.24031411163285,0.4391701599355108,31.58,-111.54542297799958,33.59825955383104
7886,Black Canyon City,1,2020,9,252,2020-09-09,0.1034524029651865,-0.1473828543988911,0.5451705285661208,39.95295396263353,0.01,-112.12297566700332,34.12891725078391
7887,Suguaro Lake,1,2020,9,252,2020-09-09,0.0914204649913536,-0.1453626233784712,0.4489943892627271,45.64440440315117,0.01,-111.54542297799958,33.59825955383104
7888,Black Canyon City,1,2020,9,268,2020-09-25,0.1024012800449871,-0.14610132570592,0.5558473860875979,47.599919681238205,0.0,-112.12297566700332,34.12891725078391
7889,Suguaro Lake,1,2020,9,268,2020-09-25,0.0913945306295652,-0.1437011100007241,0.4619034744722385,51.987970381836526,0.0,-111.54542297799958,33.59825955383104
7890,Black Canyon City,1,2021,9,254,2021-09-12,0.1164108167379754,-0.1483677446615365,0.7432083388508692,51.68548965149885,1.2,-112.12297566700332,34.12891725078391
7891,Suguaro Lake,1,2021,9,254,2021-09-12,0.1617705903306435,-0.1989027880580156,0.7996579214215723,51.527163456910586,1.2,-111.54542297799958,33.59825955383104
7892,Black Canyon City,1,2021,9,270,2021-09-28,0.1166699686086002,-0.1409336852201847,0.7612776374065483,31.2859909805214,55.54,-112.12297566700332,34.12891725078391
7893,Suguaro Lake,1,2021,9,270,2021-09-28,0.150570744294784,-0.177757199888723,0.9575603935427814,30.216422592754856,55.54,-111.54542297799958,33.59825955383104
7894,Black Canyon City,1,2022,9,257,2022-09-15,0.110243865947551,-0.1468090857368534,0.6874978067251781,46.1772844696244,11.68,-112.12297566700332,34.12891725078391
7895,Suguaro Lake,1,2022,9,257,2022-09-15,0.1161143810043242,-0.1550840575422674,0.6315654396579594,46.18649122115647,11.68,-111.54542297799958,33.59825955383104
7896,Black Canyon City,1,2023,9,244,2023-09-02,0.111416344946073,-0.1534745607232326,0.5463015785288434,41.185470300263965,51.12,-112.12297566700332,34.12891725078391
