Site,year,NDVI,NDWI,cloud_cover,longitude,latitude,bloom,month,day_of_year,day_of_month,is_spring,is_summer,is_fall,is_winter
Non_Bloom_8,2024,0.0942355614514582,-0.103304143508893,31.99,-73.93224598096674,40.693344962008375,0,9,263,19,0,0,1,0
Non_Bloom_8,2024,0.0932634340157968,-0.1013520979286944,3.36,-73.93224598096674,40.693344962008375,0,10,279,5,0,0,1,0
Non_Bloom_8,2024,0.0814404110131115,-0.0914354681797456,0.11,-73.93224598096674,40.693344962008375,0,10,295,21,0,0,1,0
Non_Bloom_8,2024,0.0624502211295081,-0.0750066153730224,7.03,-73.93224598096674,40.693344962008375,0,11,311,6,0,0,1,0
Non_Bloom_7,2024,0.2028151957703652,-0.208511309218992,3.28,-83.61273098446513,35.62715942043859,0,2,51,20,0,0,0,1
Non_Bloom_7,2024,0.2383829354645853,-0.2353873567087345,58.73,-83.61273098446513,35.62715942043859,0,3,67,7,1,0,0,0
Non_Bloom_7,2024,0.4343696943989128,-0.3772536622276053,50.18,-83.61273098446513,35.62715942043859,0,5,131,10,1,0,0,0
Non_Bloom_7,2024,0.4987135646544832,-0.4559183977534786,22.59,-83.61273098446513,35.62715942043859,0,6,163,11,0,1,0,0
Non_Bloom_7,2024,0.4904164243432434,-0.4539914634174846,10.89,-83.61273098446513,35.62715942043859,0,7,195,13,0,1,0,0
Non_Bloom_7,2024,0.5323130125336849,-0.4791065626064726,76.21,-83.61273098446513,35.62715942043859,0,7,211,29,0,1,0,0
Non_Bloom_7,2024,0.4676346228643601,-0.4291537121702038,20.68,-83.61273098446513,35.62715942043859,0,8,227,14,0,1,0,0
Non_Bloom_7,2024,0.4332141838431959,-0.3988458026580487,5.39,-83.61273098446513,35.62715942043859,0,8,243,30,0,1,0,0
Non_Bloom_7,2024,0.4335880158658716,-0.4010197286123752,60.51,-83.61273098446513,35.62715942043859,0,9,259,15,0,0,1,0
Non_Bloom_7,2024,0.3375104612029261,-0.3266151683468288,4.54,-83.61273098446513,35.62715942043859,0,10,291,17,0,0,1,0
Non_Bloom_7,2024,0.2314571923131686,-0.2357528178521924,28.77,-83.61273098446513,35.62715942043859,0,11,307,2,0,0,1,0
Non_Bloom_7,2024,0.2086583622353173,-0.2117670140673409,74.76,-83.61273098446513,35.62715942043859,0,11,323,18,0,0,1,0
Non_Bloom_7,2024,0.1788675477687388,-0.1804047896827148,45.86,-83.61273098446513,35.62715942043859,0,12,355,20,0,0,0,1
Non_Bloom_7,2024,0.2029609800567783,-0.2103287341172932,21.42,-83.61273098446513,35.62715942043859,0,2,51,20,0,0,0,1
Non_Bloom_7,2024,0.2347382078163155,-0.2327646533920221,1.69,-83.61273098446513,35.62715942043859,0,3,67,7,1,0,0,0
Non_Bloom_7,2024,0.4416360941529116,-0.3860265015908507,50.69,-83.61273098446513,35.62715942043859,0,5,131,10,1,0,0,0
Non_Bloom_7,2024,0.5010624978409581,-0.4599262912328847,5.79,-83.61273098446513,35.62715942043859,0,6,163,11,0,1,0,0
Non_Bloom_7,2024,0.4899533148286578,-0.4554405003056676,15.03,-83.61273098446513,35.62715942043859,0,7,195,13,0,1,0,0
Non_Bloom_7,2024,0.5089410116442227,-0.458851003369091,65.78,-83.61273098446513,35.62715942043859,0,7,211,29,0,1,0,0
Non_Bloom_7,2024,0.4700066874506846,-0.4341520513592269,43.04,-83.61273098446513,35.62715942043859,0,8,227,14,0,1,0,0
Non_Bloom_7,2024,0.439917086063598,-0.4076820293378349,5.85,-83.61273098446513,35.62715942043859,0,8,243,30,0,1,0,0
Non_Bloom_7,2024,0.3369739808034475,-0.3279802342072083,0.02,-83.61273098446513,35.62715942043859,0,10,291,17,0,0,1,0
Non_Bloom_7,2024,0.2294331610769517,-0.2351090367598169,55.46,-83.61273098446513,35.62715942043859,0,11,307,2,0,0,1,0
Non_Bloom_7,2024,0.2058615823523557,-0.210946932699535,21.04,-83.61273098446513,35.62715942043859,0,11,323,18,0,0,1,0
Non_Bloom_7,2024,0.1810797654315672,-0.1851141129710794,12.52,-83.61273098446513,35.62715942043859,0,12,355,20,0,0,0,1
Non_Bloom_7,2024,0.1987347496031728,-0.207002738946806,10.51,-83.61273098446513,35.62715942043859,0,3,74,14,1,0,0,0
Non_Bloom_7,2024,0.2088795000970903,-0.2164160682201881,9.25,-83.61273098446513,35.62715942043859,0,3,90,30,1,0,0,0
Non_Bloom_7,2024,0.2462760956527572,-0.245255588424422,14.02,-83.61273098446513,35.62715942043859,0,4,106,15,1,0,0,0
Non_Bloom_7,2024,0.3560326531972786,-0.3226588354429033,6.38,-83.61273098446513,35.62715942043859,0,5,122,1,1,0,0,0
Non_Bloom_7,2024,0.4756032859804614,-0.4312604485220888,65.8,-83.61273098446513,35.62715942043859,0,6,170,18,0,1,0,0
Non_Bloom_7,2024,0.4803532787359003,-0.4415601413956289,37.38,-83.61273098446513,35.62715942043859,0,7,186,4,0,1,0,0
Non_Bloom_7,2024,0.4532265692588164,-0.4177130030468854,6.05,-83.61273098446513,35.62715942043859,0,8,218,5,0,1,0,0
Non_Bloom_7,2024,0.444465392460848,-0.4136093446289614,34.29,-83.61273098446513,35.62715942043859,0,8,234,21,0,1,0,0
Non_Bloom_7,2024,0.4218474279983807,-0.394705827600307,21.57,-83.61273098446513,35.62715942043859,0,9,250,6,0,0,1,0
Non_Bloom_7,2024,0.3944648214983823,-0.3708517489960644,17.3,-83.61273098446513,35.62715942043859,0,9,266,22,0,0,1,0
Non_Bloom_7,2024,0.36037511645602,-0.3426691061540983,0.62,-83.61273098446513,35.62715942043859,0,10,282,8,0,0,1,0
Non_Bloom_7,2024,0.2784319307578478,-0.3005683724575268,0.01,-83.61273098446513,35.62715942043859,0,10,298,24,0,0,1,0
